group,age,fiinc,fninc,ownermort,ownerhome,rentalmort,rentalhome,dweght,year
group 10,65,15926.512101961564,13010.818908753443,-1255.5679223281304,19801.407788906974,-947.5905962671739,20838.1752147813,8.04138e10,1962
group 1,65,-1.0692004503064618,-8.261940501107015,-40.925766928206286,1523.623912859468,0.0,15.536787630864447,8.19417003586e11,1962
group 3,65,1203.334728212285,1149.7555833962338,-289.19824909982407,4846.925892380369,-18.115048955269696,3631.8374257796645,1.82480379886e11,1962
group 9,65,5769.521357343929,5372.741804352995,-1234.7347555599945,11883.305422771353,-371.6013300929407,8935.309174497535,4.06211e10,1962
group 7,65,3836.2805151593425,3576.0797855508154,-944.7955476373902,15180.258445044286,-127.90978963999274,5371.177578869541,4.69841e10,1962
group 8,65,5074.416313674893,4779.586054832928,-413.7441722191556,7812.252056696359,-81.7201228903554,4153.598697994185,3.42062e10,1962
group 6,65,3268.117921399549,3098.9230340480326,-1166.4795997690571,13913.623781351802,-84.19683919904153,4987.401981644093,5.1210847063e10,1962
group 5,65,2664.7899909286057,2513.186346623619,-600.3186945658261,10368.399479374171,-79.612793343071,3846.423983040078,7.6763043879e10,1962
group 4,65,1816.2206295766234,1739.208447615247,-365.7927154664512,8332.537669643707,-45.86175507283434,2929.532108452073,1.22310184702e11,1962
group 2,65,473.2569027969846,458.1387406308928,-67.69049069078082,1581.8335051905456,-116.19002427263959,1011.2545297193864,2.88388128934e11,1962
group 10,0,9496.195517213235,8864.700659942766,-3441.461329954248,12080.573585479622,-844.9115762901766,5331.348417510221,1.057372041296e12,1962
group 1,0,-161.47750739274178,-184.48320987955117,-123.96786666465968,553.8091435638993,-238.2742620838443,624.0963680087417,3.17636355777e11,1962
group 2,0,496.2934260908129,483.8429251788391,-437.45479769290347,1228.5032051548208,-291.1840626921282,655.6600457884745,8.4619158494e11,1962
group 9,0,5098.305703189099,5056.132981249569,-2640.802929326988,6654.25824944656,-518.2873607097156,1504.887537290795,1.1013349e12,1962
group 8,0,4120.655538417966,4095.847606922799,-2213.8115031008947,5450.899549314867,-367.0169922362162,1059.1837410073256,1.1191736e12,1962
group 7,0,3485.7286130584034,3463.920681099068,-1960.1068999562308,4710.528282268981,-272.95149946962187,744.6064485286715,1.0798366e12,1962
group 6,0,2952.9088677953364,2925.3619898318993,-1549.9971623626493,4027.9609861262134,-278.635546547062,1003.2298815771289,1.0798272e12,1962
group 5,0,2413.622351423805,2387.8577249328778,-1087.6194468138897,2953.5203791096274,-246.6991255085654,942.3209791730812,1.059827e12,1962
group 4,0,1812.0154736218851,1788.2909915990917,-815.828084832592,2387.960907660031,-258.03698729058317,975.0102988376952,1.026009747088e12,1962
group 3,0,1150.5383177968345,1131.731326070597,-459.76195193569316,1659.7180987158115,-178.92427052344084,889.3162668530365,9.45291982832e11,1962
group 10,65,17143.435335175847,13565.239149953812,-842.2469342733405,19495.31063205192,-1086.464264185081,24199.91155044877,9.35677e10,1964
group 1,65,-8.30254295648073,-10.2674526540268,-55.58525448425853,1566.3083520545954,-11.137798016401739,59.4897691882743,8.73344511528e11,1964
group 9,65,6430.576379062071,5838.348976013229,-806.1237219122839,13651.74228439176,-300.5028325940175,12328.307714058346,4.26916e10,1964
group 8,65,5320.535574101381,4898.247404999999,-642.6729315710796,13253.099532068341,-241.9348531780135,12097.260001882507,3.74308e10,1964
group 7,65,4408.883732532737,4107.342460528194,-471.3684660326141,13237.073455492013,-115.21342792204986,6131.69974028874,4.4025e10,1964
group 6,65,3715.132932822067,3584.0556700908983,-1397.7989305520184,14298.654429455113,-110.57863789562084,5878.180656037184,4.06522e10,1964
group 5,65,2946.9655769278434,2683.5314764726772,-522.9107124225378,9438.621825980073,-67.9577091643314,6632.624836663371,7.7841279715e10,1964
group 4,65,2116.5559941837287,2005.1316892379702,-376.01312144643293,9496.831811199996,-71.95024933062676,4354.268157014895,1.22630872202e11,1964
group 3,65,1316.907306327925,1278.179006664103,-363.8671357110493,5293.7983492742605,-55.96520127966721,3838.8809911626977,2.02443496566e11,1964
group 2,65,604.378384461444,586.5993176216203,-73.21792340540016,1987.4768628807421,-23.332680938972956,1587.4364930368167,2.71478438294e11,1964
